"TITOLO ALCOLOMETRICO VOLUMICO","ALCOHOLIC STRENGHT BY VOLUME"
"Collegamento con Densimat in corso...","Connecting Densimat..."
"Alcosoft 3","Alcosoft 3"
"ESTRATTO SECCO TOTALE","TOTAL DRY EXTRACT"
"Estratto Secco","Total Dry Extract"
"Esci","Exit"
"VALUTAZIONE MOSTI","MUSTS EVALUATION"
"Porta di comunicazione ","Comunication Port "
"Reset Default","Reset Default"
"Cambia Percorso","Change Path"
"Duplica","Duplicate"
"Settings","Settings"
"Percorso Etichette ","Label Path "
"Nome Stampante","Printer Name"
" DENSIMAT"," DENSIMAT"
" STAMPANTE ETICHETTE"," LABEL PRINTER"
"Esci","Exit"
"Salva","Save"
"Test","Test"
"Annulla","Cancel"
"Chiudi","Exit"
" ARCHIVIO ALCOSOFT"," ALCOSOFT DATABASE"
"Verifica collegamento seriale/USB","Serial/USB Port Check"
"Accendere la bilancia e collegare il cavo seriale/USB. quindi attendere il riconoscimento....","Turn on Densimat, plug USB/Serial Cable,and Wait for connection...."
"Collegamento Densimat","Densimat"
"Seleziona percorso Archivio","Change Database Path"
"Reset Archivio Default","Reset Default Database"
"Copia Database WeightCheck","Backup WeightCheck Database"
"Importa Database WeightCheck","Import WeightCheck Database"
"Chiudi","Exit"
"Importa Database ","Import "
"Import , Export , cancellazione DB","Database options : Import , Export , Reset"
"Gestione Database","Manage Database"
"Percorso file","File Path"
"E' possibile importare il database. Premere ... per  visualizzare la finestra delle cartelle, quindi selezionare il file : dbWeightCheck.mdb.  Attenzione : impostando un'altro database il programma potrebbe non funzionare correttamente","Import Database file. Click on ... and open browser folder. please select : dbWeightCheck.mdb. Wrong Database file will compromise the software ."
"Importa Archivio","Import Database"
"&Sorgente:","&Source:"
"&Destinazione:","&Destination:"
"E' possibile duplicare l'archivio Access selezionando una Destinazione e premendo OK","You can duplicate or backup Access database. Select destination and press OK" 
"Copia Database","Copy Database"
"Ripristina percorso originale","Reset Default Path"
"Annulla","Exit"
"E' possibile modificare manualmente il percorso dell'archivio. Premere ... e impostare il nuovo percorso.","You can change database path. Click on  ... and select path."
"Percorso file","File path"
"Rag.Sociale ","Name"
" SOCIETA'"," COMPANY"
"Ricerca Aggiornamenti OnLine","Search OnLine Update"
"Attuale Release","Current Release"
" LINGUA"," LANGUAGE"
"Esci","Exit"
" ARCHIVIO REPORT PDF"," PDF REPORT PATH"
"Percorso","Path"
"Settings","Settings"
"Nominativo","Name"
" RELEASE SOFTWARE"," SOFTWARE RELEASE "
" OPERATORE"," USER"
"Salva","Save"
"Chiudi","Close"
"Dati Società","Company Details"
"Salva","Save"
"Telefono","Phone"
"Ragione Sociale","Company Name"
"Descrizione","Description"
"Via","Address"
"CAP","Postcode"
"Città","Town"
"   Lista Account","   User List"
"&Cancella","&Erase"
"&Login","&Login"
"Login","Login"
"Cancella","Erase"
"Inserire Username e Password per procedere...","Please Enter  Username and Password..."
"Login Operatore","User Login"
"Password","Password"
"Username","Username"
"Pulisci Form","Clear Form"
"Utente Amministratore","Administrator"
"Login all'avvio","Startup Login"
"Cancella Account","Delete User"
"Anagrafica Operatori : inserire Username e Password quindi salvare l'account. E' possibile acquisire username con Barcode Reader.","Account List : Enter  Username and Password and Save Account."
"Lista Operatori","Account List"
"Gestione Account","Account Manager"
"DATA FINE","CLOSING DATE"
"DATA INIZIO","STARTING DATE"
"INIZIO","START"
"FINE","CLOSE"
"Nascondi Colonne","Hide Columns"
"Record","Record"
"MOSTI","MUSTS"
"ESTRATTO","EXTRACT"
"TITOLO","ASV"
"Pag 1 di 10","Pag 1 of 10"
"PERIODO","PERIOD"
"CODICE","CODE"
"FILTRO","FILTER"
"ARCHIVIO CAMPIONI","SAMPLES HISTORY"
"Procedura","Procedure"
"SCHEDA CAMPIONE","SAMPLE DETAILS"
"Codice","Code"
"Lotto","Batch"
"Descrizione","Description"
"Cliente","Customer"
"Anagrafica Campione","Sample Details"
"Completare i campi quindi premere Salva","Fill Information fields and Save"
"TAV","ASV"
"LOTTO","BATCH"
"- Codice -","- Code -"
"OPERATORE","USER"
"ETICHETTA","LABEL"
"CAMPIONE","SAMPLE"
"MASSA VOLUMICA DISTILLATO a 20°C","DISTILLATE MASS VOLUME AT 20°C"
"DENSITA' RELATIVA d20/20","DISTILLATE SPECIFIC GRAVITY d20/20"
"TAV DISTILLATO A 20C [%Vol]","ASV DISTILLATE AT 20C [%Vol]"
"DENSITA' DISTILLATO LETTA","DISTILLATE DENSITY"
"TEMPERATURA","TEMPERATURE"
"ESTRATTO SECCO A 20°C [g/l]","DRY EXTRACT AT 20°C [g/l]"
"ESTRATTO","EXTRACT"
"MASSA VOLUMICA VINO/MOSTO 20°C","WINE/MUST MASS VOLUME AT 20°C"
"DENSITA' RELATIVA VINO/MOSTO d20/20","WINE/MUST SPECIFIC GRAVITY d20/20"
"TAV DIST. A 20°C [%Vol]","DIST. ASV AT 20°C [%Vol]"
"DENSITA' DISTILLATO LETTA","DISTILLATE DENSITY"
"Plato","Plato"
"Oechsle","Oechsle"
"Brix","Brix"
"Babo","Babo"
"Baumé","Baumé"
"MASSA VOLUMICA MOSTO a 20°C","MUST MASS VOLUME AT 20°C"
"DENSITA' RELATIVA d20/20 MOSTO","MUST SPECIFIC GRAVITY d20/20"
"DENSITA' MOSTO LETTA","MUST DENSITY"
"Collegamento Densimat","Densimat Connection"
"Per procedere al calcolo dell'Estratto Secco , Selezionare un campione dalla tabella","Select Sample from Table to continue with Dry Extract calculation"
"Procedi","Select"
"SI","YES"
"NO","NO"
"Inserire il campo Richiesto","Enter field..."
"Imposta collegamento seriale/USB","Set Serial/USB connection..."
"Inserire Operatore","Enter User Name"
"Inserire Società","Enter Company Info ( Report )"
